Action,Food_Item_ID,foodcode,modcode,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)",_607 4:0 (g),_608 6:0 (g),_609 8:0 (g),_610 10:0 (g),_611 12:0 (g),_612 14:0 (g),_613 16:0 (g),_614 18:0 (g),_617 18:1 (g),_618 18:2 (g),_619 18:3 (g),_620 20:4 (g),_621 22:6 n-3 (g),_626 16:1 (g),_627 18:4 (g),_628 20:1 (g),_629 20:5 n-3 (g),_630 22:1 (g),_631 22:5 n-3 (g),"_645 Fatty acids, total monounsaturated (g)","_646 Fatty acids, total polyunsaturated (g)",Calc_SoFAS,Calc_Red_Org_Veg,Calc_Starchy_Veg,Calc_Meat_And_Beans,Calc_Meat_Poult_Egg,Calc_Seafood,Calc_Nuts_Seeds_Soy,Calc_Oils,Calc_Total_Fat_Prct,Calc_Sat_Fat_Prct,Calc_MonoUnsat_Fat_Prct,Calc_PolyUnsat_Fat_Prct,Calc_Linoleic_Acid_Prct,Calc_Alpha_Linoleic_Acid_Prct,Calc_Protein_Prct,Calc_Carb_Prct,Calc_Copper,Calc_Milk_Yogurt,Calc_Whole_Fruit,Calc_Alcohol,Calc_Added_Sugars,Calc_Solid_Fats,Calc_Omega3_DHA,Calc_Omega3_EPA,Calc_V_TOTAL,Calc_Protein_Foods,Calc_Protein_Nuts_Seeds_Soy,Calc_Added_Sugars_Grams
,11,11114300,000000,"1% milk, lactose-free (Lactaid)",3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.2999,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.6999,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7857,13.5643,5.9357,0.7500,0.6429,0.0857,32.0952,47.5238,10.0000,0.4100,0.0000,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,12,11114310,000000,"1% milk, lactose-free (Lactaid), calcium-fortified",3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.2999,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.6999,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.7857,13.5643,5.9357,0.7500,0.6429,0.0857,32.0952,47.5238,10.0000,0.4100,0.0000,0.0000,0.0000,2.9160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,13,11114320,000000,"Fat free milk, lactose-free",3.37,0.08,4.96,34,0,90.84,0,0,5.0899,0,122,0.03,11,101,156,42,0.42,0.013,3.1,61,61,0,0,0.01,1.2,0,0,0,0,0.045,0.182,0.094,0.037,5,0.5,15.6,0,0,5,5,0,0,2,0.056,0.004,0,0.001,0.002,0.001,0.008,0.025,0.009,0.018,0.002,0.001,0,0,0.003,0,0,0,0,0,0.022,0.003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1176,1.4824,0.5824,0.0794,0.0529,0.0265,39.6471,58.3529,13.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,14,11114321,000000,"Fat free milk, lactose-free, calcium fortified",3.3999,0.18,4.8498,35,0,90.7998,0,0,4.8498,0,204,0.04,11,101,166,52,0.4,0.011,2.1,137,137,0,0,0.01,1.2,0,0,0,1,0.036,0.14,0.088,0.04,5,0.38,16,0,0,5,5,0,0,2,0.117,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.038,0.005,0.002,0,0,0.007,0,0,0,0,0,0.047,0.007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6286,3.0086,1.2086,0.1800,0.1286,0.0514,38.8560,55.4263,11.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,15,11114330,000000,"2% milk, lactose-free (Lactaid)",3.2999,1.98,4.7999,50,0,89.2099,0,0,5.0598,0,120,0.02,11,92,140,47,0.48,0.006,2.5,55,55,4,0,0.03,1.2,0,0,0,0.2,0.039,0.185,0.092,0.038,5,0.53,16.3998,0.2,0,5,5,0,0,8,1.2568,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0,0,0.027,0,0.002,0,0,0,0.56,0.073,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6400,22.6224,10.0800,1.3140,1.1160,0.1440,26.3992,38.3992,6.0000,0.4100,0.0000,0.0000,0.0000,11.0970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,16,11114350,000000,"Lactaid milk, whole milk",3.1499,3.25,4.7999,61,0,88.1299,0,0,5.0499,0,113,0.03,10,84,132,43,0.37,0.025,3.7,45,46,7,0,0.07,1.3,0,0,0,0,0.046,0.169,0.089,0.036,5,0.45,14.3,0.3,0,5,5,0,0,10,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0,0,0,0,0,0,0,0,0.812,0.195,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.9508,27.5164,11.9803,2.8770,1.7705,1.1066,20.6551,31.4748,25.0000,0.4100,0.0000,0.0000,0.0000,21.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,17,11115000,000000,"Buttermilk, fat free (skim)",3.31,0.88,4.79,40,0,90.1299,0,0,4.79,0,116,0.05,11,89,151,190,0.42,0.011,2,13,14,1,0,0.05,0,0,0,0,1,0.034,0.154,0.058,0.034,5,0.22,17.6999,0.1,0,5,5,0,0,4,0.548,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013,0,0,0.02,0,0,0,0,0,0.254,0.033,2.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8000,12.3300,5.7150,0.7425,0.4500,0.2925,33.1000,47.9000,11.0000,0.4100,0.0000,0.0000,0.0000,2.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,18,11115100,000000,1% buttermilk,3.31,0.88,4.79,40,0,90.1299,0,0,4.79,0,116,0.05,11,89,151,190,0.42,0.011,2,13,14,1,0,0.05,0,0,0,0,1,0.034,0.154,0.058,0.034,5,0.22,17.6999,0.1,0,5,5,0,0,4,0.548,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013,0,0,0.02,0,0,0,0,0,0.254,0.033,2.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8000,12.3300,5.7150,0.7425,0.4500,0.2925,33.1000,47.9000,11.0000,0.4100,0.0000,0.0000,0.0000,2.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,19,11115200,000000,2% buttermilk,4.0998,2,5.2999,56,0,87.7,0,0,5.2999,0,143,0.06,13,82,180,105,0.24,0.008,2.2999,16,16,3,0,0.11,0,0,0,0,1.5,0.05,0.21,0.1,0.03,6,0.37,16,0.1,0,6,6,0,0,8,1.242,0.061,0.04,0.02,0.051,0.061,0.202,0.525,0.242,0.505,0.04,0.03,0,0,0.04,0,0,0,0,0,0.576,0.071,11.2574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1429,19.9607,9.2571,1.1411,0.6429,0.4821,29.2843,37.8564,8.0000,0.4100,0.0000,0.0000,0.0000,11.2574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,5507,11115300,000000,"Buttermilk, whole",3.21,3.31,4.8799,62,0,87.9098,0,0,4.8799,0,115,0.03,10,85,135,105,0.38,0.025,3.7,46,47,7,0,0.07,1.3,0,0,0,0,0.047,0.172,0.09,0.036,5,0.46,14.6,0.3,0,5,5,0,0,11,1.899,0.076,0.076,0.076,0.076,0.078,0.302,0.844,0.371,0.827,0.122,0.076,0,0,0,0,0,0,0,0,0.827,0.198,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0484,27.5661,12.0048,2.8742,1.7710,1.1032,20.7097,31.4832,25.0000,0.4100,0.0000,0.0000,0.0000,21.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
