Action,Food_Item_ID,foodcode,modcode,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)",_607 4:0 (g),_608 6:0 (g),_609 8:0 (g),_610 10:0 (g),_611 12:0 (g),_612 14:0 (g),_613 16:0 (g),_614 18:0 (g),_617 18:1 (g),_618 18:2 (g),_619 18:3 (g),_620 20:4 (g),_621 22:6 n-3 (g),_626 16:1 (g),_627 18:4 (g),_628 20:1 (g),_629 20:5 n-3 (g),_630 22:1 (g),_631 22:5 n-3 (g),"_645 Fatty acids, total monounsaturated (g)","_646 Fatty acids, total polyunsaturated (g)",Calc_SoFAS,Calc_Red_Org_Veg,Calc_Starchy_Veg,Calc_Meat_And_Beans,Calc_Meat_Poult_Egg,Calc_Seafood,Calc_Nuts_Seeds_Soy,Calc_Oils,Calc_Total_Fat_Prct,Calc_Sat_Fat_Prct,Calc_MonoUnsat_Fat_Prct,Calc_PolyUnsat_Fat_Prct,Calc_Linoleic_Acid_Prct,Calc_Alpha_Linoleic_Acid_Prct,Calc_Protein_Prct,Calc_Carb_Prct,Calc_Copper,Calc_Milk_Yogurt,Calc_Whole_Fruit,Calc_Alcohol,Calc_Added_Sugars,Calc_Solid_Fats,Calc_Omega3_DHA,Calc_Omega3_EPA,Calc_V_TOTAL,Calc_Protein_Foods,Calc_Protein_Nuts_Seeds_Soy,Calc_Added_Sugars_Grams
,674,24147250,000000,"Chicken, drumstick, fried in shortening, skinless, breaded, breading eaten",22.98,11.02,6.5198,221,0,58.53,0,0,0.14,0.2,15,1.1798,18,163,209,446,2.39,0.084,28.1,8,8,0,0,0.71,0.1,0,0,94,0,0.125,0.277,5.083,0.352,13,0.37,53.2999,5.9,8,5,19,0,0,106,2.821,0.001,0,0.001,0.003,0.004,0.031,1.661,1.034,4.0739,2.564,0.165,0.105,0.008,0.226,0,0.023,0.003,0,0.01,4.3369,2.9129,55.4032,0.0000,0.0000,2.7100,2.7100,0.0000,0.0000,0.0000,44.8778,11.4882,17.6616,11.8625,10.4416,0.6719,41.5928,11.8005,84.0000,0.0100,0.0000,0.0000,0.0000,55.4032,8.0000,3.0000,0.0000,2.7100,0.0000,0.0000
,675,24147250,205538,"Chicken, drumstick, fried in oil, skinless, breaded, breading eaten",22.98,11.0299,6.5198,221,0,58.53,0,0,0.14,0.2,15,1.1798,18,163,209,446,2.39,0.084,28.1,8,8,0,0,1.1298,0.1,0,0,94,0,0.124,0.277,5.083,0.352,13,0.37,53.2999,9.9,8,5,19,0,0,106,2.0129,0.001,0,0.001,0.003,0.004,0.021,1.4258,0.473,3.978,3.3349,0.425,0.105,0.008,0.24,0,0.054,0.003,0,0.01,4.2858,3.943,0.0000,0.0000,0.0000,2.7100,2.7100,0.0000,0.0000,1.5089,44.9181,8.1973,17.4535,16.0575,13.5810,1.7308,41.5928,11.8005,84.0000,0.0100,0.0000,0.0000,0.0000,0.0000,8.0000,3.0000,0.0000,2.7100,0.0000,0.0000
,676,24147260,000000,"Chicken, drumstick, fried in shortening, skinless, breaded, breading not eaten",27.23,8.13,0,186,0,63.56,0,0,0,0,12,0.95,20,185,242,551,2.87,0.087,30.8998,8,8,0,0,0.54,0.1,0,0,108,0,0.092,0.287,5.767,0.43,3,0.44,61.3999,4.5,0,3,3,0,0,127,2.112,0.001,0,0.001,0.004,0.005,0.03,1.353,0.664,2.814,1.725,0.102,0.128,0.009,0.277,0,0.024,0.004,0,0.012,3.1309,2.0499,25.1100,0.0000,0.0000,3.3799,3.3799,0.0000,0.0000,0.0000,39.3387,10.2194,15.1495,9.9189,8.3468,0.4935,58.5591,0.0000,87.0000,0.0000,0.0000,0.0000,0.0000,25.1100,9.0000,4.0000,0.0000,3.3799,0.0000,0.0000
,677,24147260,205972,"Chicken, drumstick, fried in oil, skinless, breaded, breading not eaten",27.23,8.13,0,187,0,63.56,0,0,0,0,12,0.95,20,185,242,550,2.87,0.087,30.8998,8,8,0,0,0.73,0.1,0,0,108,0,0.091,0.287,5.767,0.43,3,0.44,61.3999,6.2999,0,3,3,0,0,127,1.743,0.001,0,0.001,0.004,0.005,0.025,1.246,0.408,2.77,2.077,0.22,0.128,0.009,0.284,0,0.038,0.004,0,0.012,3.108,2.5209,0.0000,0.0000,0.0000,3.3799,3.3799,0.0000,0.0000,0.6889,39.1283,8.3888,14.9583,12.1327,9.9963,1.0588,58.2460,0.0000,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,4.0000,0.0000,3.3799,0.0000,0.0000
,678,24152210,000000,"Chicken, thigh, baked, skin eaten",23.1298,14.18,0.03,225,0,61.64,0,0,0,0,10,1.06,22,209,251,444,1.74,0.066,26.8,16,16,0,0,0.24,0.2,0,0,34,0,0.086,0.204,5.7728,0.405,4,0.43,74.7,2.2999,0,4,4,0,0,130,4.0869,0.001,0.001,0.002,0.003,0.009,0.083,3.157,0.781,5.208,2.716,0.135,0.1,0.006,0.912,0.003,0.078,0.006,0.002,0.01,6.245,3.052,44.4690,0.0000,0.0000,3.2999,3.2999,0.0000,0.0000,0.0000,56.7200,16.3476,24.9800,12.2080,10.8640,0.5400,41.1196,0.0533,66.0000,0.0000,0.0000,0.0000,0.0000,44.4690,6.0000,6.0000,0.0000,3.2999,0.0000,0.0000
,5326,24152219,000000,"Chicken, raw, thigh, with skin",11.7676,7.7012,0,119.08,0,32.3752,0,0,0,0,5.2,0.546,11.44,106.5999,135.1999,44.7199,0.8424,0.027,12.74,8.32,8.32,0,0,0.0988,0.104,0,0,8.8399,0,0.0452,0.0858,3.0004,0.2132,2.08,0.2184,35.152,1.716,0,2.08,2.08,0,0,70.2,2.1246,0,0,0,0,0,0,0,0,0,1.3673,0.0676,0,0.0026,0,0,0,0.0031,0,0,3.2566,1.5285,28.5857,0.0000,0.0000,1.7113,1.7113,0.0000,0.0000,0.0000,58.2052,16.0576,24.6132,11.5523,10.3340,0.5109,39.5284,0.0000,27.0000,0.0000,0.0000,0.0000,0.0000,28.5857,2.6000,3.1000,0.0000,1.7113,0.0000,0.0000
,679,24152220,000000,"Chicken, thigh, baked, skin not eaten",24.3998,7.8898,0,173,0,66.7,0,0,0,0,9,1.08,24,220,267,449,1.8998,0.069,28.8,8,8,0,0,0.23,0.2,0,0,27,0,0.094,0.232,6.1959,0.453,5,0.4,79.2998,2.7,0,5,5,0,0,129,2.3199,0.001,0.001,0.001,0.002,0.004,0.045,1.7548,0.48,2.817,1.488,0.073,0.09,0.005,0.482,0.001,0.037,0.005,0.001,0.009,3.363,1.731,0.0000,0.0000,0.0000,3.5000,3.5000,0.0000,0.0000,0.0000,41.0452,12.0688,17.4954,9.0052,7.7410,0.3798,56.4157,0.0000,69.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,0.0000,3.5000,0.0000,0.0000
,5327,24152228,000000,"Chicken, raw, thigh, with skin, skin removed",10.3157,3.556,0,76.1098,0,28.9691,0,0,0,0,4.2999,0.4644,10.32,93.31,119.11,37.4099,0.7697,0.0232,11.223,3.4399,3.4399,0,0,0.0774,0.086,0,0,0,0,0.0408,0.0804,2.6595,0.1969,2.1499,0.172,30.8738,1.677,0,2.1499,2.1499,0,0,58.0499,0.9808,0,0,0,0,0,0,0,0,0,0.6071,0.0313,0,0.0017,0,0,0,0.0021,0,0,1.4486,0.7009,6.0912,0.0000,0.0000,1.4912,1.4912,0.0000,0.0000,0.0000,42.0498,11.5980,17.1297,8.2882,7.1790,0.3701,54.2148,0.0000,23.2000,0.0000,0.0000,0.0000,0.0000,6.0912,1.7000,2.1000,0.0000,1.4912,0.0000,0.0000
,5328,24152229,000000,"Chicken, raw, thigh, boneless, skinless",10.3157,3.556,0,76.1098,0,28.9691,0,0,0,0,4.2999,0.4644,10.32,93.31,119.11,37.4099,0.7697,0.0232,11.223,3.4399,3.4399,0,0,0.0774,0.086,0,0,0,0,0.0408,0.0804,2.6595,0.1969,2.1499,0.172,30.8737,1.677,0,2.1499,2.1499,0,0,58.0499,0.9808,0,0,0,0,0,0,0,0,0,0.6071,0.0313,0,0.0017,0,0,0,0.0021,0,0,1.4486,0.7009,0.0000,0.0000,0.0000,1.5179,1.5179,0.0000,0.0000,0.0000,42.0498,11.5980,17.1297,8.2882,7.1790,0.3701,54.2148,0.0000,23.2000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7000,2.1000,0.0000,1.5179,0.0000,0.0000
,680,24153210,000000,"Chicken, thigh, stewed, skin eaten",22.3,14.58,0.06,225,0,62.84,0,0,0,0,11,1.25,19,151,195,427,2.04,0.063,19.8,36,36,0,0,0.26,0.2,0,0,0,0,0.062,0.168,5.0869,0.199,5,0.23,54.7999,2.7999,0,5,5,0,0,95,4.008,0,0.001,0.001,0,0.023,0.106,2.979,0.8,4.8449,2.71,0.127,0.107,0.029,0.841,0.001,0.119,0.008,0,0.017,5.8609,3.0819,48.0322,0.0000,0.0000,3.2900,3.2900,0.0000,0.0000,0.0000,58.3200,16.0320,23.4436,12.3276,10.8400,0.5080,39.6444,0.1067,63.0000,0.0000,0.0000,0.0000,0.0000,48.0322,29.0000,8.0000,0.0000,3.2900,0.0000,0.0000
,681,24153220,000000,"Chicken, thigh, stewed, skin not eaten",24.1999,9.16,0,184,0,65.95,0,0,0,0,11,1.31,22,164,213,434,2.35,0.069,20,16,16,0,0,0.26,0.2,0,0,0,0,0.068,0.193,5.493,0.237,6,0.25,65.7998,2.6,0,6,6,0,0,100,2.488,0,0.001,0.001,0,0.022,0.06,1.772,0.556,2.887,1.6558,0.079,0.103,0.036,0.483,0,0.05,0.008,0,0.023,3.4689,1.955,3.1590,0.0000,0.0000,3.4800,3.4800,0.0000,0.0000,0.0000,44.8043,12.1696,16.9674,9.5625,8.0990,0.3864,52.6085,0.0000,69.0000,0.0000,0.0000,0.0000,0.0000,3.1590,36.0000,8.0000,0.0000,3.4800,0.0000,0.0000
,682,24154210,000000,"Chicken, thigh, fried in shortening, skin eaten",25.91,16.62,0.27,259,0,55.75,0,0,0,0,11,0.92,20,193,251,584,2,0.077,29,27,27,0,0,0.21,0,0,0,110,0,0.08,0.218,5.737,0.429,3,0.63,42.7,3.1,0,3,3,0,0,144,4.23,0.002,0,0.002,0.005,0.002,0.051,3.3349,0.852,5.7359,3.1539,0.188,0.145,0.011,0.963,0.005,0.006,0.006,0.003,0.016,6.7199,3.617,66.5010,0.0000,0.0000,3.2000,3.2000,0.0000,0.0000,0.0000,57.7529,14.6988,23.3510,12.5687,10.9595,0.6533,40.0154,0.4170,77.0000,0.0000,0.0000,0.0000,0.0000,66.5010,11.0000,6.0000,0.0000,3.2000,0.0000,0.0000
,683,24154210,205389,"Chicken, thigh, fried in oil, skin eaten",25.91,16.62,0.27,259,0,55.75,0,0,0,0,11,0.92,20,193,251,584,2,0.077,29,27,27,0,0,0.3,0,0,0,110,0,0.079,0.218,5.737,0.429,3,0.63,42.7,4.0998,0,3,3,0,0,144,4.0438,0.002,0,0.002,0.005,0.002,0.048,3.281,0.723,5.714,3.3319,0.248,0.145,0.011,0.966,0.005,0.013,0.006,0.003,0.016,6.708,3.855,53.8650,0.0000,0.0000,3.2000,3.2000,0.0000,0.0000,0.3489,57.7529,14.0518,23.3097,13.3958,11.5780,0.8618,40.0154,0.4170,77.0000,0.0000,0.0000,0.0000,0.0000,53.8650,11.0000,6.0000,0.0000,3.2000,0.0000,0.0000
,684,24154220,000000,"Chicken, thigh, fried in shortening, skin not eaten",27.94,10.59,0,212,0,60.38,0,0,0,0,10,0.97,24,209,275,547,2.24,0.081,32,7,7,0,0,0.59,0,0,0,111,0,0.089,0.266,6.282,0.511,3,0.55,60.2,5.5,0,3,3,0,0,132,2.704,0.001,0,0.001,0.004,0.004,0.035,1.689,0.897,3.7029,2.289,0.14,0.122,0.01,0.288,0.001,0.029,0.003,0.001,0.011,4.0339,2.6419,39.4470,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,0.0000,44.9575,11.4792,17.1250,11.2156,9.7175,0.5943,52.7170,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,39.4470,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,685,24154220,205419,"Chicken, thigh, fried in oil, skin not eaten",27.94,10.59,0,212,0,60.38,0,0,0,0,10,0.97,24,209,275,546,2.24,0.081,32,7,7,0,0,0.89,0,0,0,111,0,0.088,0.266,6.282,0.511,3,0.55,60.2,8.4,0,3,3,0,0,132,2.124,0.001,0,0.001,0.004,0.004,0.027,1.52,0.495,3.6339,2.842,0.327,0.122,0.01,0.297,0.001,0.051,0.003,0.001,0.011,3.9969,3.3809,0.0000,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,1.0822,44.9575,9.0170,16.9680,14.3529,12.0651,1.3882,52.7170,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,686,24157210,000000,"Chicken, thigh, fried in shortening, breaded, skin/breading eaten",20.6298,19.92,7.6299,296,0,50.64,0,0,0.16,0.3,14,1.1598,18,160,205,441,1.59,0.074,25.3998,22,22,0,0,0.46,0,0,0,90,0,0.118,0.215,4.8029,0.328,14,0.49,42.1,3.7999,10,4,21,0,0,116,5.259,0.001,0,0.002,0.004,0.006,0.084,3.8639,1.232,7.16,4.017,0.24,0.115,0.009,0.984,0.004,0.057,0.004,0.002,0.012,8.2408,4.485,108.7830,0.0000,0.0000,2.4400,2.4400,0.0000,0.0000,0.0000,60.5676,15.9902,25.0565,13.6368,12.2139,0.7297,27.8781,10.3107,74.0000,0.0100,0.0000,0.0000,0.0000,108.7830,9.0000,4.0000,0.0000,2.4400,0.0000,0.0000
,687,24157210,205368,"Chicken, thigh, fried in oil, breaded, skin/breading eaten",20.6298,19.92,7.6299,296,0,50.64,0,0,0.16,0.3,14,1.1598,18,160,205,440,1.59,0.074,25.3998,22,22,0,0,0.7,0,0,0,90,0,0.117,0.215,4.8029,0.328,14,0.49,42.1,6.0998,10,4,21,0,0,116,4.799,0.001,0,0.002,0.004,0.006,0.078,3.729,0.912,7.105,4.456,0.388,0.115,0.009,0.992,0.004,0.075,0.004,0.002,0.012,8.2119,5.072,77.4360,0.0000,0.0000,2.4400,2.4400,0.0000,0.0000,0.8600,60.5676,14.5916,24.9686,15.4216,13.5486,1.1797,27.8781,10.3107,74.0000,0.0100,0.0000,0.0000,0.0000,77.4360,9.0000,4.0000,0.0000,2.4400,0.0000,0.0000
,688,24157210,205845,"Chicken, thigh, baked, breaded, skin/breading eaten",21.19,16.5598,7.8399,270,0,53.2,0,0,0.17,0.3,15,1.1798,18,164,210,452,1.6298,0.076,26.1,23,23,0,0,0.23,0,0,0,92,0,0.12,0.221,4.9329,0.337,14,0.5,43.2999,1.8,10,5,21,0,0,119,4.432,0.001,0,0.002,0.004,0.007,0.081,3.49,0.816,5.75,3.099,0.173,0.119,0.009,1.0148,0.004,0.056,0.004,0.002,0.012,6.862,3.5059,79.3800,0.0000,0.0000,2.5399,2.5399,0.0000,0.0000,0.0000,55.1993,14.7733,22.8733,11.6863,10.3300,0.5767,31.3926,11.6147,76.0000,0.0100,0.0000,0.0000,0.0000,79.3800,9.0000,4.0000,0.0000,2.5399,0.0000,0.0000
,689,24157220,000000,"Chicken, thigh, fried in shortening, breaded, skin/breading not eaten",27.96,10.46,0,211,0,60.49,0,0,0,0,10,0.97,24,209,275,547,2.25,0.081,32,7,7,0,0,0.58,0,0,0,111,0,0.089,0.266,6.288,0.511,3,0.56,60.2999,5.4,0,3,3,0,0,132,2.6709,0.001,0,0.001,0.004,0.004,0.035,1.673,0.882,3.6469,2.254,0.138,0.122,0.01,0.288,0.001,0.029,0.003,0.001,0.011,3.979,2.604,38.3130,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,0.0000,44.6161,11.3925,16.9720,11.1071,9.6142,0.5886,53.0047,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,38.3130,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,690,24157220,205683,"Chicken, thigh, fried in oil, breaded, skin/breading not eaten",27.96,10.46,0,211,0,60.49,0,0,0,0,10,0.97,24,209,275,547,2.25,0.081,32,7,7,0,0,0.87,0,0,0,111,0,0.088,0.266,6.288,0.511,3,0.56,60.2999,8.1998,0,3,3,0,0,132,2.108,0.001,0,0.001,0.004,0.004,0.027,1.508,0.491,3.58,2.7909,0.319,0.122,0.01,0.297,0.001,0.051,0.003,0.001,0.011,3.943,3.322,0.0000,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,1.0511,44.6161,8.9915,16.8185,14.1697,11.9043,1.3607,53.0047,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,691,24157220,205909,"Chicken, thigh, baked, breaded, skin/breading not eaten",28.8798,5.91,0,174,0,64.0798,0,0,0,0,11,1,25,216,284,565,2.3199,0.084,33,7,7,0,0,0.3,0,0,0,115,0,0.091,0.275,6.495,0.528,3,0.57,62.2999,3,0,3,3,0,0,136,1.5368,0.001,0,0.001,0.004,0.004,0.028,1.118,0.353,1.7588,1.046,0.05,0.126,0.01,0.296,0.001,0.026,0.003,0.001,0.012,2.095,1.316,0.0000,0.0000,0.0000,3.4900,3.4900,0.0000,0.0000,0.0000,30.5690,7.9490,10.8362,6.8069,5.4103,0.2586,66.3903,0.0000,84.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000,0.0000,3.4900,0.0000,0.0000
,6170,24157230,000000,"Fried chicken, thigh, fast food, skin/breading eaten",18.1999,20.35,9.3498,293,0,49.6099,0,0,0,0.6,27,0.95,21,179,244,618,1.34,0.179,23.3998,25,25,0,0,0.27,0.2,0,0,0,0,0.066,0.208,5.1879,0.234,25,0.46,56.7999,0,14,11,34,0,0,101,5.4729,0.003,0.001,0.004,0.005,0.011,0.155,3.883,1.2808,6.838,4.764,0.244,0.062,0.003,0.978,0.004,0.076,0.003,0.004,0.006,7.9779,5.1509,67.7144,0.0000,0.0000,2.4799,2.4799,0.0000,0.0000,1.0666,62.5085,16.8110,24.5055,15.8219,14.6334,0.7495,24.8463,12.7642,179.0000,0.0100,0.0000,0.0000,0.0000,67.7144,3.0000,3.0000,0.0000,2.4799,0.0000,0.0000
,6171,24157235,000000,"Fried chicken, thigh, fast food, skin/breading not eaten",22.9698,9.88,0.25,182,0,64.81,0,0,0,0,18,0.96,22,204,289,504,1.8798,0.081,29.1999,12,12,0,0,0.22,0.2,0,0,0,0,0.077,0.283,5.8849,0.302,12,0.56,68.5999,0,0,12,12,0,0,124,2.875,0.002,0.001,0.001,0.004,0.008,0.063,2.125,0.625,3.595,1.729,0.088,0.068,0.003,0.64,0.003,0.04,0.003,0.003,0.006,4.3189,1.956,0.0000,0.0000,0.0000,3.2500,3.2500,0.0000,0.0000,0.5333,48.8571,14.2170,21.3572,9.6725,8.5500,0.4352,50.4831,0.5495,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,0.0000,3.2500,0.0000,0.0000
,692,24157250,000000,"Chicken, thigh, fried in shortening, skinless, breaded, breading eaten",22.89,11.85,7.75,233,0,56.57,0,0,0.17,0.3,14,1.24,21,177,230,427,1.83,0.079,28.6,8,8,0,0,0.69,0.1,0,0,94,0,0.13,0.26,5.389,0.402,15,0.45,51.2999,6.0998,10,5,22,0,0,107,3.007,0.001,0,0.001,0.003,0.003,0.034,1.7788,1.098,4.328,2.73,0.176,0.097,0.008,0.226,0.001,0.026,0.002,0.001,0.009,4.591,3.0739,58.8052,0.0000,0.0000,2.6100,2.6100,0.0000,0.0000,0.0000,45.7725,11.6150,17.7335,11.8734,10.5451,0.6798,39.2961,13.3047,79.0000,0.0100,0.0000,0.0000,0.0000,58.8052,8.0000,2.0000,0.0000,2.6100,0.0000,0.0000
,693,24157250,205490,"Chicken, thigh, fried in oil, skinless, breaded, breading eaten",21.46,13.7799,10.06,255,0,53.5,0,0,0.22,0.3,15,1.3798,21,170,218,500,1.72,0.081,28.1,8,8,0,0,1.35,0,0,0,94,0,0.14,0.248,5.165,0.372,19,0.42,43.8999,13.4,13,6,28,0,0,101,2.403,0.001,0,0.001,0.002,0.003,0.022,1.702,0.563,5.0419,4.341,0.573,0.094,0.008,0.238,0.001,0.068,0.002,0.001,0.008,5.3609,5.0758,0.0000,0.0000,0.0000,2.3400,2.3400,0.0000,0.0000,2.0755,48.6349,8.4812,18.9208,17.9146,15.3212,2.0224,33.6627,15.7804,81.0000,0.0100,0.0000,0.0000,0.0000,0.0000,8.0000,2.0000,0.0000,2.3400,0.0000,0.0000
,694,24157250,206347,"Chicken, thigh, baked, skinless, breaded, breading not eaten",24.09,4.8898,8.16,178,0,61.88,0,0,0.18,0.3,15,1.3,23,187,242,449,1.9299,0.084,30.1,8,8,0,0,0.26,0.1,0,0,99,0,0.135,0.273,5.671,0.423,16,0.47,54,2.3999,10,5,23,0,0,112,1.272,0.001,0,0.001,0.003,0.003,0.023,0.928,0.29,1.4418,0.886,0.043,0.102,0.009,0.236,0.001,0.021,0.002,0.001,0.009,1.71,1.106,0.0000,0.0000,0.0000,2.5899,2.5899,0.0000,0.0000,0.0000,24.7237,6.4315,8.6461,5.5921,4.4798,0.2174,54.1348,18.3371,84.0000,0.0200,0.0000,0.0000,0.0000,0.0000,9.0000,2.0000,0.0000,2.5899,0.0000,0.0000
,695,24157260,000000,"Chicken, thigh, fried in shortening, skinless, breaded, breading not eaten",27.94,10.59,0,212,0,60.38,0,0,0,0,10,0.97,24,209,275,547,2.24,0.081,32,7,7,0,0,0.59,0,0,0,111,0,0.089,0.266,6.282,0.511,3,0.55,60.2,5.5,0,3,3,0,0,132,2.704,0.001,0,0.001,0.004,0.004,0.035,1.689,0.897,3.7029,2.289,0.14,0.122,0.01,0.288,0.001,0.029,0.003,0.001,0.011,4.0339,2.6419,39.4470,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,0.0000,44.9575,11.4792,17.1250,11.2156,9.7175,0.5943,52.7170,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,39.4470,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,696,24157260,205400,"Chicken, thigh, fried in oil, skinless, breaded, breading not eaten",27.94,10.59,0,212,0,60.38,0,0,0,0,10,0.97,24,209,275,546,2.24,0.081,32,7,7,0,0,0.89,0,0,0,111,0,0.088,0.266,6.282,0.511,3,0.55,60.2,8.4,0,3,3,0,0,132,2.124,0.001,0,0.001,0.004,0.004,0.027,1.52,0.495,3.6339,2.842,0.327,0.122,0.01,0.297,0.001,0.051,0.003,0.001,0.011,3.9969,3.3809,0.0000,0.0000,0.0000,3.3199,3.3199,0.0000,0.0000,1.0822,44.9575,9.0170,16.9680,14.3529,12.0651,1.3882,52.7170,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.0000,0.0000,3.3199,0.0000,0.0000
,697,24162110,000000,"Chicken, wing, baked, skin eaten",23.59,16.73,0,252,0,58.9099,0,0,0,0,18,0.84,19,146,210,420,1.6298,0.041,25.3,12,12,0,0,0.68,0.2,0,0,0,0,0.064,0.152,6.267,0.553,9,0.35,110.4,0.3,0,9,9,0,0,140,4.9348,0,0,0,0.007,0.008,0.097,3.851,0.919,6.3818,3.189,0.164,0.097,0.006,1.106,0.004,0.1,0.004,0.002,0.012,7.642,3.56,67.2300,0.0000,0.0000,3.2100,3.2100,0.0000,0.0000,0.0000,59.7500,17.6243,27.2929,12.7143,11.3893,0.5857,37.4444,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000,67.2300,6.0000,4.0000,0.0000,3.2100,0.0000,0.0000
,5329,24162119,000000,"Chicken, raw, wing, with skin",9.1324,6.6163,0,98.5999,0,18.7136,0,0,0,0,5.0999,0.4318,6.4599,51.34,62.56,27.8799,0.6188,0.0193,7.548,15.98,15.98,0,0,0.0918,0.034,0,0,0,0,0.0142,0.0435,2.2603,0.1428,1.02,0.0986,21.1819,0.102,0,1.02,1.02,0,0,28.5599,1.853,0,0,0,0,0,0,0,0,0,1.2138,0.051,0,0.0204,0,0,0,0.0068,0,0,2.5975,1.4075,30.6512,0.0000,0.0000,1.0669,1.0669,0.0000,0.0000,0.0000,60.3923,16.9138,23.7095,12.8474,11.0793,0.4655,37.0483,0.0000,19.3000,0.0000,0.0000,0.0000,0.0000,30.6512,20.4000,6.8000,0.0000,1.0669,0.0000,0.0000
,698,24162120,000000,"Chicken, wing, baked, skin not eaten",30.21,8.06,0,201,0,62.2599,0,0,0,0,16,1.1498,21,165,208,414,2.12,0.054,24.5,18,18,0,0,0.27,0.1,0,0,0,0,0.047,0.128,7.251,0.585,4,0.34,78.9,0.3,0,4,4,0,0,84,2.241,0,0,0,0,0.01,0.069,1.5168,0.585,2.192,1.2788,0.06,0.169,0.069,0.298,0,0.05,0.02,0,0.04,2.588,1.7648,0.0000,0.0000,0.0000,3.5000,3.5000,0.0000,0.0000,0.0000,36.0896,10.0343,11.5881,7.9021,5.7260,0.2687,60.1194,0.0000,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.0000,20.0000,0.0000,3.5000,0.0000,0.0000
,5330,24162129,000000,"Chicken, raw, wing, with skin, skin removed",7.9196,2.1137,0,52.78,0,16.3228,0,0,0,0,4.16,0.3016,5.4599,43.1599,54.6,23.92,0.5564,0.014,6.4218,4.6799,4.6799,0,0,0.0702,0.026,0,0,0,0,0.0122,0.0335,1.9011,0.1534,1.04,0.0884,20.6959,0.078,0,1.04,1.04,0,0,22.1,0.5876,0,0,0,0,0,0,0,0,0,0.3354,0.0156,0,0.0182,0,0,0,0.0052,0,0,0.6786,0.4628,0.0000,0.0000,0.0000,0.9170,0.9170,0.0000,0.0000,0.0000,36.0426,10.0197,11.5714,7.8916,5.7192,0.2660,60.0197,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2000,5.2000,0.0000,0.9170,0.0000,0.0000
