,Food Code,Category,Food,Proteins (g),Fats (g),Carbs (g),Calories,Cholesterol,Saturated Fats (g),Total Fat (% Calories),Total Protein (% Calories),Total Carbohydrate (% Calories),Gram_Weight,Portion_Desc
42,11411400,Fats,"Greek yogurt, plain, whole milk",9.0,5.0,3.98,97.0,13.0,2.395,46.3918,37.1134,16.4124,150.0,container (5.3 oz)
43,11411410,Proteins,"Greek yogurt, plain, low fat",9.9499,1.9199,3.94,73.0,10.0,1.23,23.67,54.52,21.589,150.0,container (5.3 oz)
44,11411420,Proteins,"Greek yogurt, plain, fat free",10.1899,0.39,3.6,59.0,5.0,0.11699999999999999,5.9492,69.0841,24.4068,150.0,container (5.3 oz)
45,11421000,Carbs,"Yogurt, coffee, whole milk",4.8399,3.14,13.5398,100.0,10.0,1.9809999999999999,28.26,19.3596,54.1592,227.0,container (8 oz)
46,11422000,Carbs,"Yogurt, coffee, lowfat",4.9299,1.25,13.8,85.0,5.0,0.8059999999999999,13.2353,23.1995,64.9412,227.0,container (8 oz)
47,11422100,Carbs,"Yogurt, vanilla, lowfat, low calorie sweetener",4.9299,1.25,13.8,86.0,5.0,0.752,13.0814,22.9298,64.186,227.0,container (8 oz)
48,11423000,Carbs,"Yogurt, coffee, fat free",4.24,0.16,16.46,81.0,2.0,0.105,1.7778,20.9383,81.284,227.0,container (8 oz)
49,11424000,Carbs,"Yogurt, coffee, light (fat free, low calorie sweetener)",3.8599,0.18,7.5,43.0,2.0,0.11599999999999999,3.7674,35.906,69.7674,227.0,container (8 oz)
50,11424500,Fats,"Greek yogurt, vanilla, whole milk",8.39,5.41,9.25,118.0,13.0,3.2789,41.2627,28.4407,31.3559,150.0,container (5.3 oz)
51,11424510,Carbs,"Greek yogurt, vanilla, low fat",8.64,2.5,9.5399,95.0,5.0,1.465,23.6842,36.3789,40.168,150.0,container (5.3 oz)
52,11424520,Carbs,"Greek yogurt, vanilla, fat free",8.64,0.18,10.3699,78.0,3.0,0.133,2.0769,44.3077,53.179,150.0,container (5.3 oz)
53,11426000,Carbs,"Chocolate yogurt, whole milk",3.43,3.08,22.8,136.0,9.0,1.9169999999999998,20.3824,10.0882,67.0588,170.0,container (6 oz)
54,11427000,Carbs,"Chocolate yogurt, fat free",3.5299,0.0,23.53,112.0,1.0,0.0,0.0,12.6068,84.0357,170.0,6 oz container
55,11428000,Carbs,"Greek yogurt, chocolate, fat free",8.75,0.32,10.84,80.0,3.0,0.212,3.6,43.75,54.2,150.0,container (5.3 oz)
56,11431000,Carbs,"Yogurt, blueberry, whole milk",4.28,3.2,18.64,119.0,9.0,2.015,24.2017,14.3866,62.6555,170.0,container (6 oz)
57,11432000,Carbs,"Yogurt, blueberry, lowfat",4.37,1.08,19.05,102.0,4.0,0.6970000000000001,9.5294,17.1373,74.7059,170.0,container (6 oz)
58,11432500,Carbs,"Yogurt, blueberry, lowfat, low calorie sweetener",4.86,1.4098,18.6,105.0,6.0,0.909,12.084,18.5143,70.8571,170.0,container (6 oz)
59,11433000,Carbs,"Yogurt, blueberry, fat free",4.4,0.2,19.0,95.0,2.0,0.11900000000000001,1.8947,18.5263,80.0,170.0,container (6 oz)
60,11433500,Carbs,"Yogurt, blueberry, light (fat free, low calorie sweetener)",3.74,0.17,7.8799,45.0,2.0,0.094,3.4,33.2444,70.0436,170.0,container (6 oz)
61,11434000,Carbs,"Greek yogurt, fruit, whole milk",7.33,3.0,12.2899,106.0,10.0,1.599,25.4717,27.6604,46.377,150.0,container (5.3 oz)
62,11434010,Carbs,"Greek yogurt, fruit, low fat",8.1699,2.5699,11.89,103.0,12.0,1.599,22.4554,31.7278,46.1748,150.0,container (5.3 oz)
63,11434020,Carbs,"Greek yogurt, fruit, fat free",8.05,0.15,12.07,82.0,4.0,0.105,1.6463,39.2683,58.878,150.0,container (5.3 oz)
64,11446000,Carbs,Fruit and low fat yogurt parfait,3.3599,1.01,15.8599,84.0,3.0,0.525,10.8214,15.9995,75.5233,149.0,McDonald's parfait
65,11460160,Carbs,"Frozen yogurt, chocolate, low fat",5.24,1.95,21.7898,113.0,5.0,1.222,15.531,18.5487,77.132,100.0,medium scoop
66,11460170,Carbs,"Frozen yogurt, other flavors, low fat",4.4599,1.32,20.98,112.0,5.0,0.85,10.6071,15.9282,74.9286,100.0,medium scoop
67,11460200,Carbs,"Frozen yogurt, chocolate, nonfat",4.4,0.8,19.6999,107.0,4.0,0.505,6.729,16.4486,73.6445,80.0,medium scoop
68,11460250,Carbs,"Frozen yogurt, other flavors, with sorbet",3.71,3.41,26.68,152.0,19.0,2.0489,20.1908,9.7632,70.2105,75.0,Haagen-Dazs bar (2.3 fl oz)
69,11460300,Carbs,"Frozen yogurt, other flavors, nonfat",4.41,0.0,27.94,129.0,0.0,0.0,0.0,13.6744,86.6357,80.0,medium scoop
70,11460400,Carbs,"Frozen yogurt, chocolate, nonfat, low-calorie sweetener",4.4,0.8,19.6999,107.0,4.0,0.505,6.729,16.4486,73.6445,93.0,medium scoop
