Action,portion_code,portiondesc,Active
,1032700,"cup, Wheatables",1
,1033200,"cup, Fundamiddles",1
,1033700,"cup, mini chips",1
,1033900,"cup, creamed",1
,1034000,"cup, crisps",1
,1034200,"cup, refried beans",1
,2100000,tablespoon,1
,2100001,"tablespoon, tiny pieces",1
,2100002,"tablespoon, shredded",1
,2100003,"tablespoon, ground",1
,2100004,"tablespoon, pieces",1
,2100005,"tablespoon, chopped",1
,2100006,"tablespoon, crumbled",1
,2100007,"tablespoon, chopped",1
,2100008,"tablespoon, drained",1
,2100009,"tablespoon, whole",1
,2100010,"tablespoon, flaked",1
,2100011,cinnamon stick,1
,2100012,"tablespoon, packed",1
,2100013,"tablespoon, unpacked",1
,2100200,tablespoon,1
,2100500,"tablespoon, whipped",1
,2100800,tablespoon Butter Buds,1
,2100900,tablespoon,1
,2101000,tablespoon Molly McButter,1
,2200000,teaspoon,1
,2200001,dash (1/16 of a teaspoon),1
,2200002,"teaspoon, morsels",1
,2200003,"teaspoon, ground",1
,2200004,"teaspoon, whole",1
,2200005,"teaspoon, minced",1
,2200006,"teaspoon, crumbled",1
,2200007,"teaspoon, chopped",1
,2200200,"teaspoon, brownulated",1
,2200400,"teaspoon, packed",1
,2200500,"teaspoon, unpacked",1
,3000000,fluid ounce(s),1
,3000100,fluid ounce (no ice),1
,3000101,fluid ounce(s),1
,4000000,ounce(s),1
,4000001,ounce (about 10 nuts),1
,4000002,"ounce(s), cooked",1
,4000003,"ounce(s), raw",1
,4000004,"ounce(s), uncooked",1
,4000100,ounce (11 nuts),1
,4000200,ounce (14 halves),1
,4000400,"ounce(s), hulled",1
,4000500,ounce (18 nuts),1
,4000700,ounce (20 halves),1
,4000800,ounce (20 almonds),1
,4000900,ounce (22 almonds),1
,4001100,ounce (3 chestnuts),1
,4001200,ounce (35 nuts),1
,4001300,ounce (8 halves),1
,4001500,"packet dry mix, prepared with water",1
,4001700,"ounce(s), boneless",1
,4001701,ounce(s),1
,4001800,"ounce(s) cooked, no bone",1
,4001801,"ounce(s), cooked",1
,4001802,"ounce(s), cooked, boneless",1
,4002300,"ounce(s) cooked, no bone",1
,4002301,ounce(s) cooked,1
,4002400,"ounce(s) cooked, no bone",1
,4002401,ounce(s) cooked,1
,4002600,"ounce(s), boneless, dried",1
,4002700,"ounce(s), boneless, raw",1
,4004000,ounce(s) cooked,1
,4004001,ounce(s),1
,4004400,"ounce(s), dried, soaked in water",1
,4005100,"ounce(s), in shell",1
,4005101,"ounce(s), in shell (23 peanuts)",1
,4005102,"ounce(s), shucked",1
,4005103,"ounce(s), crab meat",1
,4006300,"ounce(s), shelled",1
,4006301,"ounce(s), shelled (32 peanuts)",1
,4007200,"ounce(s) with bone, cooked",1
,4008800,"ounce(s), with hulls",1
,4009300,"ounce(s), cooked",1
,4009301,"ounce(s), without shell",1
,4009400,"ounce(s), cooked",1
,4009401,"ounce(s), cooked, without shell",1
,4009402,"ounce(s), without shell",1
,5100000,inch cube,1
,5101000,1 inch piece,1
,6000100,"mini ""drummette""",1
,6000200,supersize fast food order,1
,6000300,bacon cheeseburger,1
,6000400,cheeseburger,1
,6000500,hamburger,1
,6000600,1-inch stack,1
,6000700,1-inch stack (approx 14 chips),1
,6001600,package (10 oz),1
,6001601,bag (16 oz),1
,6001700,can (12 oz),1
,6001800,can (14 oz),1
,6002100,"can (16 oz), drained",1
,6002200,can (17 oz),1
,6002201,can (30 oz),1
,6002202,can (21 oz),1
,6002203,can (20 oz),1
,6002204,can (11 oz),1
,6002205,can (15.75 oz),1
,6002206,can,1
,6002300,can (2 oz),1
,6002400,"cookie (2-1/4"" across)",1
,6003100,3 Musketeers Bar,1
,6003200,3 Musketeers Bar (2 fl oz),1
,6003300,3 Musketeers snack size bar,1
,6003900,container (6 oz),1
,6003901,container (5.3 oz),1
,6004000,container (8 oz),1
,6004001,container (15 oz),1
,6004002,container (16 oz),1
,6004100,package (8 oz),1
,6004101,"package (8.5 oz), precooked",1
,6004200,Act II pop and serve bag,1
,6004300,Arby's Beef 'N Cheddar,1
,6004400,Arby's Beef 'N Swiss,1
,6004500,Arby's Hot Ham and Cheese sandwich,1
,6004600,Arby's Junior Roast Beef Sandwich,1
,6004700,Arby's Philly Beef 'N Swiss,1
,6004800,Arby's Turkey Club,1
,6004900,Arby's Regular Roast Beef Sandwich,1
,6005100,Armour meal (11 oz),1
,6005200,Arrowroot biscuit or cookie,1
,6005300,Bagel Bite,1
,6005600,Banquet meal (16.5 oz),1
,6005800,bar,1
,6005900,Betty Crocker's Light Microwave Pop and Serve bag,1
,6006000,king size bar (2.2 oz),1
,6006001,bar (2.2 oz),1
,6006100,Boston Popcorn Company Lite Popcorn bag (7 oz),1
,6006200,Budget Gourmet meal (10 oz),1
,6006400,Burger King Double Beef Whopper with cheese,1
,6006600,Burger King Hot Ham and Cheese sandwich,1
,6006700,Burger King sandwich,1
,6006800,Burger King Whopper,1
,6006900,Burger King Whopper Jr,1
,6007000,Buster bar,1
,6007100,Cadbury Mini Egg,1
,6007300,Calizza,1
,6007800,Chipwich,1
,6007900,Choco Taco,1
,6008200,Col Crunch Sundae on a stick,1
,6008800,Dole Fruit 'N Juice Bar (2.5 fl oz),1
,6008900,Dole Fruit and Cream Bar (2.5 fl oz),1
,6009100,cone,1
,6009200,"Dutch pretzel, 3-ring (2-3/4"" x 2-5/8"" x 5/8"")",1
,6009300,E.L. Fudge (Elfin),1
,6009400,Eskimo Pie Sandwich,1
,6009600,bar (1 oz),1
,6009700,Figaroo (2 square halves),1
,6009800,Flintstone push-up (2.75 fl oz),1
,6009900,French bread pizza,1
,6010000,FrozFruit Cream Bar (4 fl oz),1
,6010100,Frozfruit Bar (4 fl oz),1
,6010200,"fruit (1"" across)",1
,6010400,Garden Gourmet Fettuccine Primavera (9.5 oz),1
,6010500,Pepperidge Farm Geneva,1
,6010900,Great Starts sandwich (4.2 oz),1
,6011000,Great Starts sandwich (4.4 oz),1
,6011100,Great Starts sandwich (5.2 oz),1
,6011200,Great Starts sandwich (6.2 oz),1
,6011300,Haagen-Dazs bar,1
,6011700,Hardee's hamburger,1
,6011800,Hardee's Mushroom and Swiss Burger,1
,6011900,Hardee's Roast Beef Sandwich,1
,6012000,Hardee's Roast Beef Supreme,1
,6012100,Hardee's sandwich,1
,6012200,can (14.2 oz),1
,6012201,can (15.2 oz),1
,6012202,"can (20 oz), drained",1
,6012203,can (13.75 oz),1
,6012206,"can (15.2 oz), drained",1
,6012207,can (14.75 oz),1
,6012208,can (13.5 oz),1
,6012400,Hardee's muffin,1
,6012500,Harvest Wheat cracker,1
,6012800,Healthy Choice meal (8.5 oz),1
,6012900,Healthy Choice meal (9.0 oz),1
,6013000,Heath bar,1
