Action,Food_Item_ID,foodcode,modcode,foodname,All Foods,Beverages,"Breads, cereals, bakery items",Pasta and rice*,Fruits*,Vegetables*,Dairy*,"Meat, poultry, fish, eggs, and soy*",Meals and entrees (mixed dishes),Snacks,Additions to foods**,Fast foods,Sweets and desserts,Recipe Ingredients,,
,,26315120,206555,"Oysters, baked or broiled, with butter",X,,,,,,,X,,,,,,,,
,,26315120,206569,"Oysters, baked or broiled, without fat",X,,,,,,,X,,,,,,,,
,,26315120,206849,"Oysters, baked or broiled, with vegetable oil",X,,,,,,,X,,,,,,,,
,,26315130,000000,"Oysters, steamed",X,,,,,,,X,,,,,,,,
,,26315140,000000,"Oysters, floured or breaded, fried in shortening",X,,,,,,,X,,,,,,,,
,,26315140,205934,"Oysters, floured or breaded, fried in oil ",X,,,,,,,X,,,,,,,,
,,26315150,000000,"Oysters, battered, fried in shortening",X,,,,,,,X,,,,,,,,
,,26315150,206103,"Oysters, battered, fried in oil ",X,,,,,,,X,,,,,,,,
,,26315180,000000,"Oysters, canned",X,,,,,,,X,,,,,,,,
,,26315190,000000,"Oysters, smoked",X,,,,,,,X,,,,,,,,
,,26317120,000000,"Scallops, baked, broiled, or grilled, with margarine",X,,,,,,,X,,,,,,,,
,,26317120,200497,"Scallops, baked, broiled, or grilled, with oil",X,,,,,,,X,,,,,,,,
,,26317120,200876,"Scallops, baked, broiled, or grilled, with butter",X,,,,,,,X,,,,,,,,
,,26317120,202359,"Scallops, baked, broiled, or grilled, without fat",X,,,,,,,X,,,,,,X,,
,,26317129,000000,"scallops, raw",X,,,,,,,,,,,,,X,,
,,26317140,000000,"Scallops, floured or breaded, fried in shortening",X,,,,,,,X,,,,,,,,
,,26317140,205632,"Scallops, floured or breaded, fried in oil ",X,,,,,,,X,,,,,,,,
,,26317150,000000,"Scallops, battered, fried in shortening",X,,,,,,,X,,,,,,,,
,,26317150,205626,"Scallops, battered, fried in oil",X,,,,,,,X,,,,,,,,
,,26319120,000000,"Shrimp, baked, broiled, or grilled, with margarine",X,,,,,,,X,,,,,,,,
,,26319120,200498,"Shrimp, baked, broiled, or grilled, with vegetable oil ",X,,,,,,,X,,,,,,,,
,,26319120,200875,"Shrimp, baked, broiled, or grilled, with butter",X,,,,,,,X,,,,,,,,
,,26319120,202863,"Shrimp, baked, broiled, or grilled, without fat",X,,,,,,,X,,,,,,X,,
,,26319129,000000,raw shrimp,X,,,,,,,,,,,,,X,,
,,26319130,000000,"Shrimp, steamed or boiled",X,,,,,,,X,,,,,,X,,
,,26319140,000000,"Shrimp, floured, breaded, or battered, fried in shortening",X,,,,,,,X,,,,,,,,
,,26319140,201330,"Shrimp, floured, breaded, or battered, fried in oil",X,,,,,,,X,,,,,,,,
,,26319140,205530,"Shrimp, floured, breaded, or battered, fried in margarine",X,,,,,,,X,,,,,,,,
,,26319140,206736,"Shrimp, floured, breaded, or battered, fried in butter",X,,,,,,,X,,,,,,,,
,,26319170,000000,"Shrimp, dried",X,,,,,,,X,,,,,,,,
,,26319180,000000,"Shrimp, canned",X,,,,,,,X,,,,,,,,
,,26321110,000000,"Snails, cooked with butter",X,,,,,,,X,,,,,,,,
,,26321110,206534,"Snails, cooked with vegetable oil",X,,,,,,,X,,,,,,,,
,,27111000,000000,Beef with tomato sauce,X,,,,,,,X,X,,,,,,,
,,27111050,000000,"Spaghetti sauce with ground beef, homemade-style",X,,,,,X,,X,,,X,,,,,
,,27111100,000000,Beef goulash,X,,,,,,,X,X,,,,,,,
,,27111200,000000,Beef burgundy (beef bourguignon),X,,,,,,,X,X,,,,,,,
,,27111300,000000,"Mexican style beef stew with tomato sauce, no potatoes",X,,,,,,,X,X,,,,,,,
,,27111310,000000,"Mexican style beef stew with tomato sauce and chili peppers, no potatoes",X,,,,,,,X,X,,,,,,,
,,27111410,000000,"Chili, with beef and beans",X,,,,,,,X,X,,,,,,,
,,27111420,000000,"chili with meat, no beans",X,,,,,,,X,X,,,,,,,
,,27111440,000000,"Chili, with beef, beans and cheese",X,,,,,,,X,X,,,,,,,
,,27111500,000000,Beef sloppy joe (no bun),X,,,,,,,X,X,,,,,,,
,,27112000,000000,Beef with gravy,X,,,,,,,X,X,,,,,,,
,,27112010,000000,Salisbury steak with gravy,X,,,,,,,X,X,,,,,,,
,,27113000,000000,Beef with cream or white sauce,X,,,,,,,X,X,,,,,,,
,,27113100,000000,Beef stroganoff,X,,,,,,,X,X,,,,,,,
,,27113200,000000,Creamed chipped beef,X,,,,,,,X,X,,,,,,,
,,27113300,000000,Swedish meatballs with cream sauce,X,,,,,,,X,X,,,,,,,
,,27115000,000000,Beef with soy-based sauce,X,,,,,,,X,X,,,,,,,
,,27115100,000000,Steak teriyaki,X,,,,,,,X,X,,,,,,,
,,27116100,000000,Beef curry,X,,,,,,,X,X,,,,,,,
,,27116200,000000,Beef with barbecue sauce,X,,,,,,,X,X,,,,,,,
,,27116350,000000,"Stewed seasoned, ground beef, Mexican style",X,,,,,,,X,X,,,,,,,
,,27118110,000000,"Meatballs, Puerto Rican style",X,,,,,,,X,X,,,,,,,
,,27118120,000000,"Stewed seasoned ground beef, Puerto Rican style",X,,,,,,,X,X,,,,,,,
,,27118180,000000,Puerto Rican style beef stew without potatoes,X,,,,,,,X,X,,,,,,,
,,27120020,000000,Ham or pork with gravy,X,,,,,,,X,X,,,,,,,
,,27120030,000000,Ham or pork with barbecue sauce,X,,,,,,,X,X,,,,,,,
,,27120060,000000,Sweet and sour pork,X,,,,,,,X,X,,,,,,,
,,27120080,000000,Ham stroganoff,X,,,,,,,X,X,,,,,,,
,,27120110,000000,Pork sausage with tomato sauce,X,,,,,,,X,X,,,,,,,
,,27120120,000000,Sausage gravy,X,,,,,,,X,,,X,,,,,
,,27120120,207133,"Sausage gravy, made with meat drippings",X,,,,,,,,,,X,,,,,
,,27120130,000000,"Mexican style pork stew with tomato sauce, no potatoes",X,,,,,,,X,X,,,,,,,
,,27120160,000000,Pork curry,X,,,,,,,,X,,,,,,,
,,27120210,000000,"Hot dog, with chili, no bun",X,,,,,,,,X,,,,,,,
,,27121410,000000,"Chili, with pork and beans",X,,,,,,,X,X,,,,,,,
,,27130100,000000,Lamb curry,X,,,,,,,X,X,,,,,,,
,,27135010,000000,Veal with gravy,X,,,,,,,,X,,,,,,,
,,27135020,000000,Veal scallopini (veal in wine sauce with cheese),X,,,,,,,X,X,,,,,,,
,,27135030,000000,Veal paprikash (veal with cream sauce),X,,,,,,X,,X,,,,,,,
,,27135040,000000,Veal picatta (veal with butter sauce),X,,,,,,,,X,,,,,,,
,,27135050,000000,Veal Marsala (veal with wine sauce),X,,,,,,,X,X,,,,,,,
,,27135110,000000,Veal parmigiana (breaded veal in tomato sauce and cheese),X,,,,,,,X,X,,,,,,,
,,27135150,000000,Veal cordon bleu,X,,,,,,X,,X,,,,,,,
,,27136050,000000,"Venison, (deer), with tomato-based sauce",X,,,,,,,,X,,,,,,,
,,27136080,000000,"Venison, (deer), with gravy",X,,,,,,,,X,,,,,,,
,,27136100,000000,"Chili, with venison and beans",X,,,,,,,,X,,,,,,,
,,27141000,000000,Chicken or turkey cacciatore,X,,,,,,,X,X,,,,,,,
,,27141030,000000,"Spaghetti sauce with poultry, home-made style",X,,,,,X,,X,,,X,,,,,
,,27141050,000000,Mexican style stewed chicken with tomato sauce,X,,,,,,,X,X,,,,,,,
,,27141500,000000,"Chili, with turkey and beans",X,,,,,,,X,X,,,,,,,
,,27142100,000000,Turkey fricassee,X,,,,,,,,X,,,,,,,
,,27143000,000000,"Chicken or turkey with cream sauce, made with margarine",X,,,,,,,X,X,,,,,,,
,,27143000,204791,"Chicken or turkey with cream sauce, made with butter",X,,,,,,,X,X,,,,,,,
,,27143000,206938,"Chicken or turkey with cream sauce, made with oil",X,,,,,,,X,X,,,,,,,
,,27143000,207147,"Chicken or turkey with cream sauce, made without fat",X,,,,,,,X,X,,,,,,,
,,27144000,000000,Chicken or turkey with mushroom soup sauce,X,,,,,,,X,X,,,,,,,
,,27145000,000000,Chicken or turkey teriyaki,X,,,,,,,X,X,,,,,,,
,,27146000,000000,"Chicken or turkey with barbecue sauce, skin eaten",X,,,,,,,X,X,,,,,,,
,,27146010,000000,"Chicken or turkey with barbecue sauce, skin not eaten",X,,,,,,,X,X,,,,,,,
,,27146050,000000,Chicken wings with hot pepper sauce (Buffalo chicken wings),X,,,,,,,X,X,X,,,,,,
,,27146100,000000,"Sweet and sour chicken, with vegetables",X,,,,,,,X,X,,,,,,,
,,27146110,000000,"Sweet and sour chicken, without vegetables",X,,,,,,,,X,,,,,,,
,,27146150,000000,Chicken curry,X,,,,,,,X,X,,,,,,,
,,27146160,000000,Chicken with mole sauce,X,,,,,,,X,X,,,,,,,
,,27146200,000000,Chicken or turkey with cheese sauce,X,,,,,,,X,X,,,,,,,
,,27146250,000000,Chicken or turkey cordon bleu,X,,,,,,,X,X,,,,,,,
,,27146300,000000,Chicken or turkey parmigiana,X,,,,,,,X,X,,,,,,,
,,27146350,000000,"Lemon chicken, Chinese style",X,,,,,,,X,X,,,,,,,
,,27146360,000000,Sesame chicken,X,,,,,,,,X,,,,,,,
,,27146400,000000,Chicken kiev,X,,,,,,,X,X,,,,,,,
,,27150020,000000,Deviled crab,X,,,,,,,,X,,,,,,,
,,27150030,000000,Crab imperial,X,,,,,,,X,X,,,,,,,
,,27150050,000000,Fish timbale or mousse,X,,,,,,,X,X,,,,,,,
,,27150060,000000,Lobster newburg,X,,,,,,,X,X,,,,,,,
,,27150100,000000,Shrimp curry,X,,,,,,,X,X,,,,,,,
,,27150110,000000,Shrimp cocktail,X,,,,,,,X,X,,,,,,,
,,27150130,000000,Seafood newburg (mixed seafood in cream sauce),X,,,,,,,,X,,,,,,,
,,27150140,000000,"White clam sauce, made with olive oil ",X,,,,,,,X,,,X,,,,,
,,27150140,100425,"White clam sauce, made with butter",X,,,,,,,X,,,X,,,,,
,,27150160,000000,Shrimp with lobster sauce,X,,,,,,,X,X,,,,,,,
,,27150170,000000,Sweet and sour shrimp,X,,,,,,,X,X,,,,,,,
,,27150200,000000,Oyster cream sauce,X,,,,,,,,,,X,,,X,,
,,27150210,000000,Fish sauce,X,,,,,,,,,,X,,,X,,
,,27150230,000000,"Shrimp scampi, made with butter",X,,,,,,,X,X,,,,,,,
,,27150230,205680,"Shrimp scampi, made with margarine",X,,,,,,,X,X,,,,,,,
,,27150230,206227,"Shrimp scampi, made with vegetable oil",X,,,,,,,X,,,,,,,,
,,27150310,000000,Sauteed fish with tomatoes,X,,,,,,,,X,,,,,,,
,,27150320,000000,Fish curry,X,,,,,,,X,X,,,,,,,
,,27150330,000000,Mussels in tomato sauce,X,,,,,,,,X,,,,,,,
,,27150410,000000,Shrimp teriyaki,X,,,,,,,X,X,,,,,,,
,,27151030,000000,Marinated fish (Ceviche),X,,,,,,,X,X,,,,,,,
,,27162060,000000,"Spaghetti sauce, with meat and vegetables, homemade-style",X,,,,,X,,X,,,X,,,,,
,,27211100,000000,Beef stew with tomato-based sauce and potatoes,X,,,,,,,X,X,,,,,,,
,,27211110,000000,Mexican style beef stew with tomato-based sauce and potatoes,X,,,,,,,X,X,,,,,,,
,,27211150,000000,"Beef goulash, with potatoes",X,,,,,,,X,X,,,,,,,
,,27211200,000000,Beef stew with potatoes and gravy,X,,,,,,,X,X,,,,,,,
,,27211300,000000,Roast beef hash,X,,,,,,,X,X,,,,,,,
,,27211400,000000,Corned beef hash,X,,,,,,,X,X,,,,,,,
,,27212050,000000,Beef and macaroni with cheese sauce (Hamburger Helper),X,,,,,,,X,X,,,,,,,
,,27212100,000000,Beef and noodles with tomato-based sauce (Hamburger Helper),X,,,,,,,X,X,,,,,,,
,,27212120,000000,"Chili, with beef, beans and macaroni",X,,,,,,,X,X,,,,,,,
,,27212150,000000,"Beef goulash, with noodles",X,,,,,,,X,X,,,,,,,
,,27212350,000000,"Beef stroganoff, with noodles (Hamburger Helper)",X,,,,,,,X,X,,,,,,,
,,27213010,000000,Lamb biryani,X,,,,,,,,X,,,,,,,
,,27213150,000000,"Chili, with beef, beans and rice",X,,,,,,,X,X,,,,,,,
,,27213500,000000,Beef and rice with soy-based sauce (Hamburger Helper) ,X,,,,,,,X,X,,,,,,,
,,27213600,000000,Beef and rice with cheese sauce (Hamburger Helper Cheesy Enchilada),X,,,,,,,X,X,,,,,,,
,,27214100,000000,"Meatballs, beef",X,,,,,,,X,X,,,,,,,
,,27214110,000000,"Meat balls, beef, with tomato-based sauce",X,,,,,,,X,X,,,,,,,
,,27214300,000000,Beef wellington,X,,,,,,,,X,,,,,,,
,,27214500,000000,Corned beef patty,X,,,,,,,,X,,,,,,,
,,27214600,000000,Creamed chipped beef on toast,X,,,,,,,X,X,,,,,,,
,,27220010,000000,Meat loaf made with ham (ham loaf),X,,,,,,,X,X,,,,,,,
,,27220050,000000,Stuffed pork,X,,,,,,,,X,,,,,,,
,,27220080,000000,Ham croquette,X,,,,,,,,X,,,,,,,
,,27235000,000000,"Meat loaf, made with venison",X,,,,,,,X,X,,,,,,,
,,27241000,000000,Chicken or turkey hash,X,,,,,,,X,X,,,,,,,
,,27242300,000000,"Chicken or turkey casserole, with noodles and white sauce",X,,,,,,,X,X,,,,,,,
,,27242310,000000,"Chicken or turkey casserole, with noodles and cheese sauce",X,,,,,,,X,X,,,,,,,
,,27242350,000000,Chicken or turkey tetrazzini,X,,,,,,,X,X,,,,,,,
,,27242400,000000,"Chicken or turkey casserole, with noodles and tomato-based sauce",X,,,,,,,X,X,,,,,,,
,,27243100,000000,Chicken biryani,X,,,,,,,,X,,,,,,,
,,27243300,000000,"Chicken or turkey casserole, with rice and white sauce (Chicken Helper)",X,,,,,,,X,X,,,,,,,
,,27243500,000000,"Chicken or turkey casserole, with rice and tomato-based sauce",X,,,,,,,X,X,,,,,,,
,,27243600,000000,"Chicken or turkey casserole, with rice and soy-based sauce (Chicken Helper Chicken Teriyaki)",X,,,,,,,X,X,,,,,,,
,,27246100,000000,Chicken or turkey with dumplings,X,,,,,,,X,X,,,,,,,
,,27246200,000000,Chicken or turkey with stuffing,X,,,,,,,X,X,,,,,,,
,,27246300,000000,Chicken or turkey croquette,X,,,,,,,X,X,,,,,,,
,,27246500,000000,"Meat loaf, made with chicken or turkey",X,,,,,,,X,X,,,,,,,
,,27246505,000000,"Meat loaf, made with chicken or turkey, with tomato-based sauce",X,,,,,,,X,X,,,,,,,
,,27250020,000000,Stuffed clams,X,,,,,,,,X,,,,,,,
,,27250030,000000,Codfish ball or cake,X,,,,,,,X,X,,,,,,,
,,27250040,000000,"Crab cake, sauteed in butter",X,,,,,,,X,X,,,,,,,
,,27250040,204665,"Crab cake, cooked without added fat",X,,,,,,,X,X,,,,,,,
,,27250040,205237,"Crab cake, sauteed in oil ",X,,,,,,,X,X,,,,,,,
,,27250060,000000,Gefilte fish,X,,,,,,,X,X,,,,,,,
,,27250070,000000,"Salmon cake, patty or croquette, fried in shortening",X,,,,,,,X,X,,,,,,,
,,27250070,100813,"Salmon cake, patty or croquette, fried in oil ",X,,,,,,,X,X,,,,,,,
,,27250130,000000,"Shrimp noodle casserole, with cheese sauce",X,,,,,,,X,X,,,,,,,
,,27250160,000000,Tuna cakes,X,,,,,,,,X,,,,,,,
,,27250220,000000,Oyster fritter,X,,,,,,,X,X,,,,,,,
,,27250250,000000,Flounder with crab stuffing,X,,,,,,,X,X,,,,,,,
,,27250260,000000,"Lobster with bread stuffing, baked",X,,,,,,,X,X,,,,,,,
,,27250270,000000,Clams Casino,X,,,,,,,X,X,,,,,,,
,,27250400,000000,Shrimp cakes,X,,,,,,,,X,,,,,,,
,,27250410,000000,Shrimp with crab stuffing,X,,,,,,,X,X,,,,,,,
,,27250450,000000,"Shrimp toast, fried",X,,,,,,,X,X,,,,,,,
,,27250520,000000,Seafood restructured (imitation crab meat),X,,,,,,,X,,,,,,,,
,,27250610,000000,"Tuna noodle casserole, with cream or white sauce, no vegetables",X,,,,,,,X,X,,,,,,,
,,27250630,000000,"Tuna noodle casserole, made with mushroom soup, no vegetables",X,,,,,,,X,X,,,,,,,
,,27250710,000000,"Tuna rice casserole, made with mushroom soup, no vegetables",X,,,,,,,X,X,,,,,,,
,,27260080,000000,"Meat loaf, made with beef and pork",X,,,,,,,X,X,,,,,,,
,,27260090,000000,"Meat loaf, made with beef, veal and pork",X,,,,,,,X,X,,,,,,,
,,27260100,000000,"Meat loaf, made with beef and pork, with tomato-based sauce",X,,,,,,,X,X,,,,,,,
,,27311310,000000,"Beef stew, in tomato-based sauce, with potatoes and carrots (Dinty Moore)",X,,,,,,,X,X,,,,,,,
,,27311320,000000,"Beef stew, in tomato-based sauce, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27311410,000000,"Beef stew, in gravy, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27311420,000000,"Beef stew, in gravy, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27311510,000000,"Shepherd's pie, made with beef",X,,,,,,,X,X,,,,,,,
,,27313110,000000,"Beef chow mein (chop suey), with chow mein noodles",X,,,,,,,X,X,,,,,,,
,,27315250,000000,"Stuffed cabbage rolls, with beef and rice",X,,,,,,,X,X,,,,,,,
,,27315270,000000,"Stuffed grape leaves, with beef and rice",X,,,,,,,X,X,,,,,,,
,,27317010,000000,Beef pot pie,X,,,,,,,X,X,,,,,,,
,,27320310,000000,"Pork chow mein (chop suey), with chow mein noodles",X,,,,,,,X,X,,,,,,,
,,27320500,000000,"Sweet and sour pork, with rice",X,,,,,,,X,X,,,,,,,
,,27330010,000000,"Shepherd's pie, made with lamb",X,,,,,,,X,X,,,,,,,
,,27330030,000000,"Lamb stew, in gravy, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27330110,000000,"Lamb stew, in gravy, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27330170,000000,"Stuffed grape leaves, with lamb and rice",X,,,,,,,X,X,,,,,,,
,,27330210,000000,"Lamb stew, in tomato-based sauce, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27330220,000000,"Lamb stew, in tomato-based sauce, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27335100,000000,"Rabbit stew, with potatoes and vegetables",X,,,,,,,X,X,,,,,,,
,,27336100,000000,"Venison, (deer), stew, in tomato-based sauce, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27336150,000000,"Venison, (deer), stew, in tomato-based sauce, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27336200,000000,"Venison, (deer), stew, in gravy, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27336250,000000,"Venison, (deer), stew, in gravy, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27341000,000000,"Chicken or turkey, potatoes, corn, and cheese, with gravy (KFC Mashed Potato Bowl with Gravy)",X,,,,,,,X,X,,,X,,,,
,,27341310,000000,"Chicken or turkey stew, in gravy, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27341320,000000,"Chicken or turkey stew, in gravy, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27341510,000000,"Chicken or turkey stew, in tomato-based sauce, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27341520,000000,"Chicken or turkey stew, in tomato-based sauce, with potato, no carrots",X,,,,,,,X,X,,,,,,,
,,27343470,000000,"Chicken or turkey noodle casserole, made with mushroom soup, with carrots",X,,,,,,,X,X,,,,,,,
,,27343480,000000,"Chicken or turkey noodle casserole, made with mushroom soup, no carrots",X,,,,,,,X,X,,,,,,,
,,27343510,000000,"Chicken or turkey stew, in tomato-based sauce, with noodles, with carrots",X,,,,,,,X,X,,,,,,,
,,27343520,000000,"Chicken or turkey stew, in tomato-based sauce, with noodles, no carrots",X,,,,,,,X,X,,,,,,,
,,27343910,000000,"Chicken or turkey chow mein (chop suey), with chow mein noodles",X,,,,,,,X,X,,,,,,,
,,27345230,000000,"Chicken or turkey, rice, corn, and cheese, with gravy (KFC Rice Bowl with Gravy)",X,,,,,,,X,X,,,X,,,,
,,27347100,000000,Chicken or turkey pot pie,X,,,,,,,X,X,,,,,,,
,,27350020,000000,Paella with seafood,X,,,,,,,X,X,,,,,,,
,,27350030,000000,"Seafood stew, in tomato-based sauce, with potatoes, no carrots",X,,,,,,,X,X,,,,,,,
,,27350050,000000,"Shrimp chow mein (chop suey), with chow mein noodles",X,,,,,,,X,X,,,,,,,
,,27350060,000000,"Shrimp creole, with rice",X,,,,,,,X,X,,,,,,,
,,27350080,000000,"Tuna noodle casserole, with cream or white sauce, with vegetables",X,,,,,,,X,X,,,,,,,
,,27350110,000000,Bouillabaisse,X,,,,,,,X,X,,,,,,,
,,27350200,000000,Oyster pie,X,,,,,,,X,X,,,,,,,
,,27350310,000000,"Seafood stew, in tomato-based sauce, with potatoes and carrots",X,,,,,,,X,X,,,,,,,
,,27350410,000000,"Tuna noodle casserole, made with mushroom soup, with vegetables",X,,,,,,,X,X,,,,,,,
,,27360100,000000,Brunswick stew,X,,,,,,,X,X,,,,,,,
,,27360120,000000,"Beef, chicken, and pork chow mein (chop suey), with chow mein noodles",X,,,,,,,,X,,,,,,,
,,27363000,000000,"Gumbo with rice and shellfish, pork, and/or poultry (New Orleans style)",X,,,,,,,X,X,,,,,,,
,,27363100,000000,"Jambalaya, with meat and rice",X,,,,,,,X,X,,,,,,,
,,27410250,000000,"Beef shish kabob with vegetables, no potatoes",X,,,,,,,X,X,,,,,,,
,,27411100,000000,"Beef stew, in tomato-based sauce, with carrots and onions",X,,,,,,,X,X,,,,,,,
,,27411120,000000,Swiss steak,X,,,,,,,X,X,,,,,,,
,,27411200,000000,"Beef stew, in tomato-based sauce, with peppers",X,,,,,,,X,X,,,,,,,
,,27415100,000000,Szechuan beef,X,,,,,,,X,X,,,,,,,
,,27415150,000000,"Beef chow mein (chop suey), no noodles",X,,,,,,,X,X,,,,,,,
,,27415170,000000,Kung Pao beef,X,,,,,,,X,X,,,,,,,
,,27416150,000000,Chinese pepper steak,X,,,,,,,X,X,,,,,,,
,,27416300,000000,"Beef taco filling: beef, cheese, tomato, taco sauce",X,,,,,,,X,X,,,,,,,
,,27416400,000000,Sukiyaki (stir fried beef and vegetables in soy sauce),X,,,,,,,X,X,,,,,,,
,,27420010,000000,Cabbage with ham hocks,X,,,,,,,X,X,,,,,,,
,,27420020,000000,"Ham salad, with mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27420020,207087,"Ham salad, with low-calorie mayonnaise",X,,,,,,,X,X,,,,,,,
,,27420080,000000,Greens with ham or pork,X,,,,,,,X,X,,,,,,,
,,27420150,000000,Kung Pao pork,X,,,,,,,X,X,,,,,,,
,,27420160,000000,"Moo Shu (Mu Shi) Pork, without Chinese pancake",X,,,,,,,X,X,,,,,,,
,,27420390,000000,"Pork chow mein (chop suey), no noodles",X,,,,,,,X,X,,,,,,,
,,27420470,000000,Sausage and peppers,X,,,,,,,,X,,,,,,,
,,27430400,000000,"Lamb stew, in gravy, with carrots, no potatoes",X,,,,,,,X,X,,,,,,,
,,27430410,000000,"Lamb stew, in gravy, no carrots or potatoes",X,,,,,,,X,X,,,,,,,
,,27430610,000000,"Lamb shish kabob, with vegetables, no potatoes",X,,,,,,,X,X,,,,,,,
,,27440130,000000,"Chicken or turkey shish kabob, with tomato, onion, and green pepper",X,,,,,,,X,X,,,,,,,
,,27441120,000000,"Chicken or turkey creole, without rice",X,,,,,,,X,X,,,,,,,
,,27443110,000000,Chicken or turkey a la king with carrots,X,,,,,,,X,X,,,,,,,
,,27443120,000000,Chicken or turkey a la king with mushrooms,X,,,,,,,X,X,,,,,,,
,,27443150,000000,Chicken or turkey divan,X,,,,,,,X,X,,,,,,,
,,27445110,000000,Szechuan chicken,X,,,,,,,X,X,,,,,,,
,,27445120,000000,Chinese garlic chicken,X,,,,,,,X,X,,,,,,,
,,27445150,000000,General Tso (General Gau) chicken,X,,,,,,,X,X,,,,,,,
,,27445180,000000,Moo Goo Gai Pan,X,,,,,,,X,X,,,,,,,
,,27445220,000000,Kung pao chicken,X,,,,,,,X,X,,,,,,,
,,27445250,000000,Almond chicken,X,,,,,,,X,X,,,,,,,
,,27446100,000000,"Chicken or turkey chow mein (chop suey), no noodles",X,,,,,,,X,X,,,,,,,
,,27446200,000000,"Turkey salad, with mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27446200,100506,"Turkey salad, with mayonnaise-type dressing (Miracle Whip)",X,,,,,,,X,X,,,,,,,
,,27446200,204361,"Turkey salad, with low-calorie mayonnaise-type dressing (Miracle Whip Light)",X,,,,,,,X,X,,,,,,,
,,27446200,205134,"Turkey salad, with fat free mayonnaise-type dressing (Miracle Whip Fat Free)",X,,,,,,,X,X,,,,,,,
,,27446200,205292,"Turkey salad, with low-calorie mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27446205,000000,"Turkey salad, with mayonnaise and grapes and almonds",X,,,,,,,X,X,,,,,,,
,,27446220,000000,"Turkey salad, with mayonnaise and egg",X,,,,,,,,X,,,,,,,
,,27446240,000000,"Turkey salad, with ranch dressing",X,,,,,,,,X,,,,,,,
,,27446245,000000,"Turkey salad, with light ranch dressing",X,,,,,,,,X,,,,,,,
,,27446250,000000,"Turkey salad, with Italian dressing",X,,,,,,,,X,,,,,,,
,,27446255,000000,"Turkey salad, with light Italian dressing",X,,,,,,,,X,,,,,,,
,,27446260,000000,"Chicken or turkey salad, made with any type of fat free dressing",X,,,,,,,,X,,,,,,,
,,27446300,000000,"Salad, grilled chicken, lettuce, tomato, no dressing",X,,,,,,,,X,,,,,,,
,,27446315,000000,"Salad, grilled chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",X,,,,,,,,X,,,X,,,,
,,27446320,000000,"Salad, fried chicken, bacon, cheese, lettuce, tomato, carrots, no dressing",X,,,,,,,,X,,,X,,,,
,,27446350,000000,"Salad, grilled chicken, lettuce, fruit, nuts, no dressing",X,,,,,,,,X,,,X,,,,
,,27446355,000000,"Salad, Asian chicken, crispy noodles, lettuce, tangerine, almonds, no dressing",X,,,,,,,,X,,,X,,,,
,,27446360,000000,"Salad, grilled chicken, cheese, lettuce, tomato, no dressing",X,,,,,,,,X,,,X,,,,
,,27446362,000000,"Salad, fried chicken, cheese, lettuce, tomato, no dressing",X,,,,,,,,X,,,X,,,,
,,27450010,000000,"Crab salad, with mayonnaise",X,,,,,,,X,X,,,,,,,
,,27450020,000000,"Lobster salad, with mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27450040,000000,"Shrimp chow mein (chop suey), no noodles",X,,,,,,,X,X,,,,,,,
,,27450060,000000,"Tuna salad, with mayonnaise",X,,,,,,,X,X,,,,,,,
,,27450060,200020,"Tuna salad, with low-calorie mayonnaise-type dressing (Miracle Whip Light)",X,,,,,,,X,X,,,,,,,
,,27450060,200099,"Tuna salad, with fat free mayonnaise-type dressing (Miracle Whip)",X,,,,,,,X,X,,,,,,,
,,27450060,200685,"Tuna salad, with light mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27450060,205378,"Tuna salad, with mayonnaise-type dressing (Miracle Whip)",X,,,,,,,X,X,,,,,,,
,,27450064,000000,"Tuna salad, with ranch dressing",X,,,,,,,,X,,,,,,,
,,27450065,000000,"Tuna salad, with light ranch dressing",X,,,,,,,,X,,,,,,,
,,27450066,000000,"Tuna salad, with Italian dressing",X,,,,,,,,X,,,,,,,
,,27450067,000000,"Tuna salad, with light Italian dressing",X,,,,,,,,X,,,,,,,
,,27450070,000000,"Shrimp salad, with mayonnaise ",X,,,,,,,X,X,,,,,,,
,,27450070,206281,"Shrimp salad, with mayonnaise-type dressing (Miracle Whip)",X,,,,,,,X,X,,,,,,,
