Food_Item_ID,foodcode,modcode,Food_Category,foodname,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),_208 Energy (kcal),_221 Alcohol (g),_255 Water (g),_262 Caffeine (mg),_263 Theobromine (mg),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)",_301 Calcium (mg),_303 Iron (mg),_304 Magnesium (mg),_305 Phosphorus (mg),_306 Potassium (mg),_307 Sodium (mg),_309 Zinc (mg),_312 Copper (mg),_317 Selenium (mcg),_319 Retinol (mcg),"_320 Vitamin A, RAE (mcg_RAE)","_321 Carotene, beta (mcg)","_322 Carotene, alpha (mcg)",_323 Vitamin E (alpha-tocopherol)(mg),_328 Vitamin D (mcg),"_334 Cryptoxanthin, beta (mcg)",_337 Lycopene (mcg),_338 Lutein + zeaxanthin (mcg),_401 Vitamin C (mg),_404 Thiamin (mg),_405 Riboflavin (mg),_406 Niacin (mg),_415 Vitamin B-6 (mg),"_417 Folate, total (mcg)",_418 Vitamin B-12 (mcg),"_421 Choline, total (mg)",_430 Vitamin K (phylloquinone)(mcg),_431 Folic acid (mcg),"_432 Folate, food (mcg)","_435 Folate, DFE (mcg_DFE)","_573 Vitamin E, added (mg)","_578 Vitamin B-12, added (mcg)",_601 Cholesterol (mg),"_606 Fatty acids, total saturated (g)"
2327,53304050,000000,,"Pie, blueberry, one crust",2.22,8.73,32.6,213,0,55.8299,0,0,17.02,1.8,7,1.04,7,26,49,154,0.17,0.065,5.5998,0,1,16,0,0.84,0,0,0,40,1,0.126,0.114,0.946,0.035,22,0,5,9.8,17,4,34,0,0,0,2.12
3781,71501015,000000,,"Mashed potatoes, with milk, and sour cream or cream cheese",2.22,5.7,16.07,122,0,74.68,0,0,1.4198,1.3998,31,0.3,17,56,282,259,0.31,0.131,0.8,57,57,13,0,0.08,0.1,0,0,7,5.7,0.081,0.05,1.026,0.215,9,0.07,15.3,2.1,0,9,9,0,0,17,3.232
2637,55701000,000000,,Cake made with glutinous rice (Mochi),2.22,6.45,53.78,276,0,37,0,0,31.12,1.2,24,0.55,19,56,85,35,0.38,0.105,5.9,0,0,0,0,0.07,0,0,0,0,0.3,0.032,0.011,0.869,0.112,4,0,2.8999,0,0,4,4,0,0,0,5.48
194,12350100,000000,,"Spinach dip, made with sour cream and mayonnaise",2.22,24.2398,5.19,244,0,66.8799,0,0,1.82,1.3998,75,0.88,28,58,178,292,0.4,0.079,3.7,49,248,2358,56,1.97,0.2,8,0,4046,2.5,0.146,0.133,0.29,0.098,51,0.11,24.5,159.6999,0,51,51,0,0,24,5.9939
2727,56205300,000000,,"Rice, white and wild blend, cooked without fat",2.21,0.19,21,97,0,75,0,0,0.13,0.6,10,1,14,42,42,503,0.51,0.078,3.5,0,0,0,0,0.06,0,0,0,9,0,0.107,0.02,1.22,0.05,39,0,2.7999,0.1,35,4,63,0,0,0,0.047
6442,92101910,206760,,"Latte (espresso coffee), decaffeinated, with skim milk",2.21,0.12,3.7999,25,0,93.3199,0,0,3.2799,0,79,0.07,36,68,141,32,0.29,0.026,2,39,39,0,0,0.01,0.8,0,0,0,0.1,0.026,0.18,1.9138,0.022,3,0.26,9.4,0,0,3,3,0,0,1,0.069
4549,75418220,000000,,"Christophine (chayote), creamed, Puerto Rican style",2.21,4.0899,25.07,141,0,67.4698,0,0,17.3998,1.5,44,0.59,13,51,146,280,0.75,0.114,3.2999,42,44,20,1,0.46,0.5,1,0,35,4.4,0.056,0.097,0.581,0.078,65,0.14,31.6999,6.5,4,61,68,0,0,37,1.201
3801,71508005,000000,,"Potato, baked, stuffed with butter or margarine, peel eaten",2.21,9.99,18.1498,167,0,67.78,0,0,1.01,1.8998,16,0.93,24,63,461,282,0.32,0.101,0.4,101,106,59,0,1.6799,0.2,0,0,26,8.1998,0.056,0.045,1.21,0.529,24,0.77,14.6999,9.3,0,24,24,0,0,15,4.479
3863,72101100,000000,,"Beet greens, raw",2.2,0.13,4.33,22,0,91.0199,0,0,0.5,3.7,117,2.5699,70,41,762,226,0.38,0.191,0.9,0,316,3794,3,1.5,0,0,0,1503,30,0.1,0.22,0.4,0.106,15,0,0.4,400,0,15,15,0,0,0,0.02
4129,75100800,000000,,"Asparagus, raw",2.2,0.12,3.8799,20,0,93.2198,0,0,1.8798,2.1,24,2.14,14,52,202,2,0.54,0.189,2.2999,0,38,449,9,1.1298,0,0,0,710,5.5998,0.143,0.141,0.978,0.091,52,0,16,41.6,0,52,52,0,0,0,0.04
